run,km,model,fit,p10,p90,n_points,inside,scored
"v10 wet near-miss (123 Mm3, 81% water)",75.2,33.50,28.00,16.40,32.80,30,0,1
"v10 wet near-miss (123 Mm3, 81% water)",75.3,32.51,27.50,15.40,32.60,32,1,1
"v10 wet near-miss (123 Mm3, 81% water)",75.4,31.53,27.50,15.70,33.50,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",75.5,30.55,27.40,15.70,33.50,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",75.6,29.56,25.90,15.40,33.80,32,1,1
"v10 wet near-miss (123 Mm3, 81% water)",75.7,28.00,25.50,15.70,33.50,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",75.8,26.45,23.90,15.70,33.10,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",75.9,24.89,23.90,14.30,32.80,35,1,1
"v10 wet near-miss (123 Mm3, 81% water)",76.0,23.33,23.50,13.90,33.30,33,1,1
"v10 wet near-miss (123 Mm3, 81% water)",76.1,23.02,23.50,13.80,33.60,32,1,1
"v10 wet near-miss (123 Mm3, 81% water)",76.2,22.72,23.50,14.10,33.10,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",76.3,22.41,23.00,14.10,31.00,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",76.4,22.11,22.80,13.90,31.00,33,1,1
"v10 wet near-miss (123 Mm3, 81% water)",76.5,22.44,23.40,13.80,31.10,32,1,1
"v10 wet near-miss (123 Mm3, 81% water)",76.6,22.77,22.80,13.60,31.10,31,1,1
"v10 wet near-miss (123 Mm3, 81% water)",76.7,23.10,22.80,13.80,31.10,32,1,1
"v10 wet near-miss (123 Mm3, 81% water)",76.8,23.43,22.80,13.40,28.40,29,1,1
"v10 wet near-miss (123 Mm3, 81% water)",76.9,23.75,22.80,13.50,29.30,30,1,1
"v10 wet near-miss (123 Mm3, 81% water)",77.0,24.06,22.80,13.60,29.20,31,1,1
"v10 wet near-miss (123 Mm3, 81% water)",77.1,24.38,22.80,15.90,28.10,29,1,1
"v10 wet near-miss (123 Mm3, 81% water)",77.2,24.69,22.80,16.40,27.90,31,1,1
"v10 wet near-miss (123 Mm3, 81% water)",77.3,24.69,22.80,17.40,28.10,29,1,1
"v10 wet near-miss (123 Mm3, 81% water)",77.4,24.69,22.80,17.00,27.90,31,1,1
"v10 wet near-miss (123 Mm3, 81% water)",77.5,24.68,22.80,17.00,27.90,31,1,1
"v10 wet near-miss (123 Mm3, 81% water)",77.6,24.68,22.80,16.90,28.30,29,1,1
"v10 wet near-miss (123 Mm3, 81% water)",77.7,24.02,22.70,16.90,28.20,30,1,1
"v10 wet near-miss (123 Mm3, 81% water)",77.8,23.36,22.70,16.70,28.60,26,1,1
"v10 wet near-miss (123 Mm3, 81% water)",77.9,22.69,22.70,16.70,28.60,26,1,1
"v10 wet near-miss (123 Mm3, 81% water)",78.0,22.03,22.80,17.60,29.10,25,1,1
"v10 wet near-miss (123 Mm3, 81% water)",78.1,22.04,22.70,17.40,29.10,24,1,1
"v10 wet near-miss (123 Mm3, 81% water)",78.2,22.05,22.70,16.70,29.10,26,1,1
"v10 wet near-miss (123 Mm3, 81% water)",78.3,22.06,22.00,11.40,29.10,24,1,1
"v10 wet near-miss (123 Mm3, 81% water)",78.4,22.07,20.60,11.50,29.10,26,1,1
"v10 wet near-miss (123 Mm3, 81% water)",78.5,22.55,20.40,10.20,29.10,28,1,1
"v10 wet near-miss (123 Mm3, 81% water)",78.6,23.02,20.20,9.20,29.00,30,1,1
"v10 wet near-miss (123 Mm3, 81% water)",78.7,23.49,20.20,9.40,29.20,32,1,1
"v10 wet near-miss (123 Mm3, 81% water)",78.8,23.96,20.20,9.40,29.20,32,1,1
